#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Sep 08 16:32:41 EDT 2018,76,76,Assignment1Suite,ClearTest0+ ClearTest1+ GetTest1+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0+ SizeTest3+ , ,EverythingTest0- GetTest0- SizeTest1- SizeTest2- , ,
1,Sat Sep 08 16:34:23 EDT 2018,23,-53,Assignment1Suite,GetTest1 InsertTest3 SizeTest0 SizeTest1+ , ,ClearTest0- ClearTest1- EverythingTest0 GetTest0 InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest2 SizeTest3- , ,
2,Sat Sep 08 17:25:30 EDT 2018,41,18,Assignment1Suite,GetTest0+ GetTest1 InsertTest3 SizeTest0 SizeTest1 SizeTest2+ SizeTest3+ , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
3,Sat Sep 08 17:34:46 EDT 2018,41,0,Assignment1Suite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
4,Sat Sep 08 17:40:09 EDT 2018,41,0,Assignment1Suite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
5,Sat Sep 08 18:11:48 EDT 2018,41,0,Assignment1Suite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
6,Sat Sep 08 18:12:31 EDT 2018,41,0,Assignment1Suite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
7,Sat Sep 08 18:24:06 EDT 2018,41,0,Assignment1Suite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
8,Sat Sep 08 18:59:15 EDT 2018,41,0,Assignment1Suite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
9,Sat Sep 08 19:50:55 EDT 2018,100,59,Assignment1Suite,ClearTest0+ ClearTest1+ EverythingTest0+ GetTest0 GetTest1 InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
10,Sat Sep 08 19:51:06 EDT 2018,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
